epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
40,6462.56,1.28951,1.08808,0.01057,0.81963,0.80145,0.83079,0.61393,1.44506,1.33924,0.01823,0.0161442,0.0053814,0.0161442,0.0053814,0.0161442,0.0053814,0.0161442,0.0053814
41,6622.92,1.26655,1.05208,0.01043,0.83863,0.7902,0.82329,0.60274,1.46988,1.41891,0.01916,0.0157911,0.00526371,0.0157911,0.00526371,0.0157911,0.00526371,0.0157911,0.00526371
42,6783.85,1.26572,1.08656,0.01033,0.84196,0.79034,0.83103,0.61635,1.46212,1.31397,0.01874,0.0154344,0.0051448,0.0154344,0.0051448,0.0154344,0.0051448,0.0154344,0.0051448
43,6944.37,1.24978,1.03027,0.0103,0.82526,0.80143,0.82749,0.61181,1.41777,1.35332,0.01765,0.0150744,0.00502481,0.0150744,0.00502481,0.0150744,0.00502481,0.0150744,0.00502481
44,7104.61,1.24546,1.04239,0.01026,0.83476,0.78438,0.82788,0.60812,1.44309,1.39015,0.01801,0.0147115,0.00490385,0.0147115,0.00490385,0.0147115,0.00490385,0.0147115,0.00490385
45,7265.15,1.2486,1.0211,0.00994,0.85906,0.77994,0.8176,0.59998,1.40888,1.36218,0.0173,0.0143461,0.00478203,0.0143461,0.00478203,0.0143461,0.00478203,0.0143461,0.00478203
46,7425.75,1.23705,1.00771,0.0102,0.82081,0.81181,0.82934,0.60953,1.41409,1.42022,0.01736,0.0139784,0.00465948,0.0139784,0.00465948,0.0139784,0.00465948,0.0139784,0.00465948
47,7586.14,1.22412,0.99442,0.00995,0.83665,0.79703,0.82843,0.61004,1.43164,1.40308,0.01796,0.013609,0.00453632,0.013609,0.00453632,0.013609,0.00453632,0.013609,0.00453632
48,7746.67,1.21063,0.97742,0.00972,0.84921,0.80037,0.82933,0.61439,1.43305,1.37795,0.01788,0.013238,0.00441267,0.013238,0.00441267,0.013238,0.00441267,0.013238,0.00441267
49,7907.44,1.21735,1.00204,0.00979,0.87946,0.77999,0.82931,0.61797,1.39757,1.3028,0.01692,0.012866,0.00428865,0.012866,0.00428865,0.012866,0.00428865,0.012866,0.00428865
50,8068.11,1.22707,0.97773,0.00972,0.86992,0.77419,0.8317,0.61859,1.4186,1.35493,0.0176,0.0124932,0.00416439,0.0124932,0.00416439,0.0124932,0.00416439,0.0124932,0.00416439
51,8229.3,1.20403,0.93668,0.00959,0.84768,0.79386,0.82531,0.61182,1.38772,1.36901,0.01667,0.01212,0.00404,0.01212,0.00404,0.01212,0.00404,0.01212,0.00404
52,8390.49,1.20098,0.94178,0.00954,0.8558,0.79444,0.82793,0.6195,1.4271,1.30149,0.01755,0.0117468,0.00391561,0.0117468,0.00391561,0.0117468,0.00391561,0.0117468,0.00391561
53,8551.79,1.19251,0.93548,0.00921,0.85521,0.80735,0.82943,0.62238,1.37411,1.38973,0.01604,0.011374,0.00379135,0.011374,0.00379135,0.011374,0.00379135,0.011374,0.00379135
54,8712.64,1.17438,0.90356,0.00931,0.82287,0.81653,0.82794,0.61272,1.37753,1.38302,0.0164,0.011002,0.00366733,0.011002,0.00366733,0.011002,0.00366733,0.011002,0.00366733
55,8873.31,1.18679,0.90838,0.0093,0.83756,0.78824,0.82491,0.61478,1.38457,1.36285,0.017,0.010631,0.00354368,0.010631,0.00354368,0.010631,0.00354368,0.010631,0.00354368
56,9033.73,1.15831,0.8712,0.00922,0.83595,0.78983,0.81701,0.61181,1.339,1.33083,0.0157,0.0102616,0.00342052,0.0102616,0.00342052,0.0102616,0.00342052,0.0102616,0.00342052
