epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
64,10049.5,1.26276,1.07995,0.00957,0.80421,0.77465,0.80757,0.63722,1.37109,1.40543,0.00959,0.0160122,0.00533742,0.0160122,0.00533742,0.0160122,0.00533742,0.0160122,0.00533742
65,10206,1.2455,1.06284,0.00965,0.81298,0.77194,0.79749,0.63154,1.38151,1.40593,0.00961,0.0157911,0.00526371,0.0157911,0.00526371,0.0157911,0.00526371,0.0157911,0.00526371
66,10362.2,1.24831,1.08508,0.00958,0.84104,0.75538,0.79942,0.63102,1.37321,1.45036,0.00947,0.0155686,0.00518953,0.0155686,0.00518953,0.0155686,0.00518953,0.0155686,0.00518953
67,10517.6,1.24176,1.07488,0.00968,0.83878,0.76504,0.80545,0.64025,1.3624,1.44543,0.00947,0.0153447,0.0051149,0.0153447,0.0051149,0.0153447,0.0051149,0.0153447,0.0051149
68,10673.8,1.23689,1.05222,0.00928,0.82746,0.76556,0.8041,0.64098,1.35563,1.42333,0.00953,0.0151196,0.00503987,0.0151196,0.00503987,0.0151196,0.00503987,0.0151196,0.00503987
69,10830.9,1.24427,1.07437,0.0093,0.80172,0.79967,0.82082,0.64688,1.35661,1.38357,0.00937,0.0148933,0.00496444,0.0148933,0.00496444,0.0148933,0.00496444,0.0148933,0.00496444
70,10987.9,1.23887,1.0377,0.0093,0.83656,0.77628,0.81247,0.64444,1.35373,1.39435,0.00939,0.014666,0.00488866,0.014666,0.00488866,0.014666,0.00488866,0.014666,0.00488866
71,11144.1,1.231,1.03743,0.00929,0.82763,0.7781,0.81009,0.6429,1.34097,1.40579,0.0093,0.0144377,0.00481256,0.0144377,0.00481256,0.0144377,0.00481256,0.0144377,0.00481256
72,11300.9,1.22448,1.04525,0.00904,0.83973,0.75965,0.80475,0.63698,1.33401,1.40032,0.00934,0.0142085,0.00473615,0.0142085,0.00473615,0.0142085,0.00473615,0.0142085,0.00473615
73,11457.5,1.22617,1.03426,0.00924,0.81963,0.77114,0.79896,0.63237,1.33849,1.43703,0.00925,0.0139784,0.00465948,0.0139784,0.00465948,0.0139784,0.00465948,0.0139784,0.00465948
74,11613.4,1.22243,1.01935,0.00916,0.83406,0.77476,0.80424,0.63335,1.34548,1.42075,0.00928,0.0137477,0.00458257,0.0137477,0.00458257,0.0137477,0.00458257,0.0137477,0.00458257
75,11769.3,1.21601,1.01789,0.00907,0.87044,0.74636,0.81279,0.64409,1.35299,1.40191,0.0093,0.0135163,0.00450545,0.0135163,0.00450545,0.0135163,0.00450545,0.0135163,0.00450545
76,11926.7,1.22548,0.99252,0.0088,0.82808,0.771,0.8049,0.63729,1.34971,1.37266,0.00923,0.0132844,0.00442815,0.0132844,0.00442815,0.0132844,0.00442815,0.0132844,0.00442815
77,12084,1.20515,0.98803,0.00881,0.81799,0.75049,0.79705,0.63515,1.34301,1.40059,0.00922,0.0130521,0.0043507,0.0130521,0.0043507,0.0130521,0.0043507,0.0130521,0.0043507
78,12241.1,1.20664,0.98386,0.00879,0.83923,0.75528,0.79784,0.63795,1.34259,1.3883,0.00929,0.0128194,0.00427313,0.0128194,0.00427313,0.0128194,0.00427313,0.0128194,0.00427313
79,12396.8,1.18387,0.9653,0.00882,0.82924,0.76328,0.80643,0.64139,1.33647,1.38831,0.00923,0.0125864,0.00419547,0.0125864,0.00419547,0.0125864,0.00419547,0.0125864,0.00419547
80,12553.8,1.18548,0.94872,0.0086,0.84294,0.76392,0.80961,0.63992,1.33192,1.38774,0.00928,0.0123532,0.00411775,0.0123532,0.00411775,0.0123532,0.00411775,0.0123532,0.00411775
81,12710.7,1.199,0.96458,0.00861,0.81969,0.79031,0.81735,0.64532,1.32754,1.37939,0.00919,0.01212,0.00404,0.01212,0.00404,0.01212,0.00404,0.01212,0.00404
82,12867.2,1.18957,0.94048,0.00867,0.81152,0.7916,0.80902,0.64223,1.32178,1.39862,0.00911,0.0118868,0.00396225,0.0118868,0.00396225,0.0118868,0.00396225,0.0118868,0.00396225
83,13025.1,1.1857,0.95369,0.00856,0.81443,0.79406,0.80049,0.6335,1.32909,1.38639,0.00921,0.0116536,0.00388453,0.0116536,0.00388453,0.0116536,0.00388453,0.0116536,0.00388453
84,13181.9,1.16281,0.91764,0.00872,0.84423,0.78051,0.8078,0.64283,1.31907,1.39416,0.00911,0.0114206,0.00380687,0.0114206,0.00380687,0.0114206,0.00380687,0.0114206,0.00380687
85,13341.1,1.18978,0.94417,0.00841,0.84847,0.76717,0.80374,0.63939,1.32239,1.38749,0.0091,0.0111879,0.0037293,0.0111879,0.0037293,0.0111879,0.0037293,0.0111879,0.0037293
86,13497.3,1.15495,0.92734,0.0086,0.85854,0.76418,0.79424,0.63191,1.32079,1.39767,0.00911,0.0109556,0.00365185,0.0109556,0.00365185,0.0109556,0.00365185,0.0109556,0.00365185
87,13656.2,1.16506,0.93988,0.00847,0.82398,0.78982,0.7966,0.63143,1.32537,1.42198,0.00904,0.0107237,0.00357455,0.0107237,0.00357455,0.0107237,0.00357455,0.0107237,0.00357455
88,13814.1,1.16749,0.94096,0.00863,0.82824,0.77725,0.79833,0.63245,1.3154,1.39513,0.00893,0.0104923,0.00349743,0.0104923,0.00349743,0.0104923,0.00349743,0.0104923,0.00349743
89,13972.3,1.14867,0.92764,0.0082,0.8425,0.76624,0.80492,0.63978,1.31474,1.37371,0.00895,0.0102616,0.00342052,0.0102616,0.00342052,0.0102616,0.00342052,0.0102616,0.00342052
90,14129.4,1.14932,0.92515,0.00828,0.86443,0.75714,0.80371,0.63651,1.30703,1.40468,0.00887,0.0100315,0.00334385,0.0100315,0.00334385,0.0100315,0.00334385,0.0100315,0.00334385
91,14283.9,1.13532,0.89698,0.00846,0.84837,0.7586,0.79189,0.63349,1.31152,1.37607,0.00892,0.00980233,0.00326744,0.00980233,0.00326744,0.00980233,0.00326744,0.00980233,0.00326744
92,14440.3,1.13702,0.89106,0.00832,0.82718,0.77945,0.79535,0.63402,1.30863,1.3827,0.00889,0.00957401,0.00319134,0.00957401,0.00319134,0.00957401,0.00319134,0.00957401,0.00319134
93,14597.2,1.12054,0.87668,0.00812,0.83345,0.78331,0.8009,0.64115,1.31669,1.35952,0.0089,0.00934667,0.00311556,0.00934667,0.00311556,0.00934667,0.00311556,0.00934667,0.00311556
94,14754.4,1.13952,0.89779,0.00807,0.82765,0.7931,0.80053,0.63803,1.31453,1.37509,0.00886,0.0091204,0.00304013,0.0091204,0.00304013,0.0091204,0.00304013,0.0091204,0.00304013
95,14911.3,1.12313,0.86619,0.00799,0.83522,0.786,0.79899,0.64119,1.31096,1.38537,0.00881,0.00889529,0.0029651,0.00889529,0.0029651,0.00889529,0.0029651,0.00889529,0.0029651
96,15067.9,1.11253,0.871,0.0079,0.85032,0.76895,0.79872,0.63898,1.31342,1.3759,0.00887,0.00867142,0.00289047,0.00867142,0.00289047,0.00867142,0.00289047,0.00867142,0.00289047
97,15223.6,1.10495,0.85162,0.00793,0.82017,0.79378,0.80257,0.64015,1.31893,1.35046,0.00887,0.00844888,0.00281629,0.00844888,0.00281629,0.00844888,0.00281629,0.00844888,0.00281629
98,15380,1.09659,0.8648,0.00783,0.86572,0.76275,0.79891,0.6405,1.30889,1.36481,0.00876,0.00822775,0.00274258,0.00822775,0.00274258,0.00822775,0.00274258,0.00822775,0.00274258
99,15536.8,1.10823,0.85817,0.00782,0.84102,0.76639,0.79834,0.64225,1.30392,1.37483,0.00871,0.00800813,0.00266938,0.00800813,0.00266938,0.00800813,0.00266938,0.00800813,0.00266938
